title,url,error
'Mo Kwame Nkrumah' Comment: Dr Prempeh breaks silence on 2024 comments,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Mo-Kwame-Nkrumah-Comment-Dr-Prempeh-breaks-silence-on-2024-comments-2010911,False
Dr Opoku Prempeh defends remarks about 'God sleeping at night',https://www.ghanaweb.com/GhanaHomePage/politics/Dr-Opoku-Prempeh-defends-remarks-about-God-sleeping-at-night-2010891,False
Duke of Edinburgh's visit shows Ghana's commitment to scaling play-based learning – Apaak,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Duke-of-Edinburgh-s-visit-shows-Ghana-s-commitment-to-scaling-play-based-learning-Apaak-2010886,False
'OSP's claim on INTERPOL Red Notice is misleading' - Ken Ofori-Atta lawyers,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/OSP-s-claim-on-INTERPOL-Red-Notice-is-misleading-Ken-Ofori-Atta-lawyers-2010880,False
OSP didn't ask any security agency to stop Ken Ofori-Atta from leaving Ghana - Manasseh,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/OSP-didn-t-ask-any-security-agency-to-stop-Ken-Ofori-Atta-from-leaving-Ghana-Manasseh-2010878,False
"NPP Primaries: Bawumia stretches lead, projected to win 15 out of 16 regions in new poll",https://www.ghanaweb.com/GhanaHomePage/politics/NPP-Primaries-Bawumia-stretches-lead-projected-to-win-15-out-of-16-regions-in-new-poll-2010875,False
'A public school cannot privilege one religion over others' – Professor Azar tackles AG Ayine,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/A-public-school-cannot-privilege-one-religion-over-others-Professor-Azar-tackles-AG-Ayine-2010874,False
Why the EC staff who petitioned Mahama to remove Jean Mensa was interdicted,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Why-the-EC-staff-who-petitioned-Mahama-to-remove-Jean-Mensa-was-interdicted-2010873,False
"The Date, Visas and More: Manasseh shares details of how Ofori-Atta left Ghana",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/The-Date-Visas-and-More-Manasseh-shares-details-of-how-Ofori-Atta-left-Ghana-2010865,False
'OSP's claim on INTERPOL Red Notice is misleading' - Ken Ofori-Atta lawyers,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/OSP-s-claim-on-INTERPOL-Red-Notice-is-misleading-Ken-Ofori-Atta-lawyers-2010880,False
OSP didn't ask any security agency to stop Ken Ofori-Atta from leaving Ghana - Manasseh,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/OSP-didn-t-ask-any-security-agency-to-stop-Ken-Ofori-Atta-from-leaving-Ghana-Manasseh-2010878,False
"NPP Primaries: Bawumia stretches lead, projected to win 15 out of 16 regions in new poll",https://www.ghanaweb.com/GhanaHomePage/politics/NPP-Primaries-Bawumia-stretches-lead-projected-to-win-15-out-of-16-regions-in-new-poll-2010875,False
'A public school cannot privilege one religion over others' – Professor Azar tackles AG Ayine,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/A-public-school-cannot-privilege-one-religion-over-others-Professor-Azar-tackles-AG-Ayine-2010874,False
Why the EC staff who petitioned Mahama to remove Jean Mensa was interdicted,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Why-the-EC-staff-who-petitioned-Mahama-to-remove-Jean-Mensa-was-interdicted-2010873,False
'I will win Kpandai seat again if there's a rerun' – NPP MP,https://www.ghanaweb.com/GhanaHomePage/politics/I-will-win-Kpandai-seat-again-if-there-s-a-rerun-NPP-MP-2010870,False
"The Date, Visas and More: Manasseh shares details of how Ofori-Atta left Ghana",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/The-Date-Visas-and-More-Manasseh-shares-details-of-how-Ofori-Atta-left-Ghana-2010865,False
Watch as Afenyo-Markin lights up Effutu with vibrant dance moves,https://www.ghanaweb.com/GhanaHomePage/politics/Watch-as-Afenyo-Markin-lights-up-Effutu-with-vibrant-dance-moves-2010857,False
'No gold is worth a life' - Sammy Gyamfi backs NAIMOS' anti-galamsey campaign,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/No-gold-is-worth-a-life-Sammy-Gyamfi-backs-NAIMOS-anti-galamsey-campaign-2010849,False
